,filename,measure,current_chord,next_chord,current_position,next_position
0,"Cabrel, Francis - La Fille Qui M'Accompagne-Guitare.gpif",0.5,Eb,Ab6,0.3.2.0.3.0,1.1.3.2.3.x
1,"Cabrel, Francis - La Fille Qui M'Accompagne-Guitare.gpif",1.5,Ab6,Eb,1.1.3.2.3.x,0.3.2.0.3.0
5,"Cabrel, Francis - La Fille Qui M'Accompagne-Guitare.gpif",7.5,Ab6,Db,1.1.3.2.3.x,1.1.3.3.3.1
6,"Cabrel, Francis - La Fille Qui M'Accompagne-Guitare.gpif",10.5,Cm,Ab6,x.0.2.2.1.0,1.1.3.2.3.x
7,"Cabrel, Francis - La Fille Qui M'Accompagne-Guitare.gpif",11.5,Ab6,Cm,1.1.3.2.3.x,x.0.2.2.1.0
9,"Cabrel, Francis - La Fille Qui M'Accompagne-Guitare.gpif",13.5,Ab6,Bb,1.1.3.2.3.x,3.0.0.0.3.x
10,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",0.5,A,C#m/A,x.0.2.2.2.0,x.0.2.1.2.0
11,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",1.5,C#m/A,A7,x.0.2.1.2.0,x.0.2.0.2.0
12,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",2.5,A7,D,x.0.2.0.2.0,x.x.0.2.3.2
13,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",3.5,D,Dm,x.x.0.2.3.2,x.x.0.2.3.1
14,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",4.5,Dm,A,x.x.0.2.3.1,x.0.2.2.2.0
15,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",5.5,A,E,x.0.2.2.2.0,0.2.2.1.0.0
16,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",6.5,E,A,0.2.2.1.0.0,x.0.2.2.2.0
17,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",7.5,A,A,x.0.2.2.2.0,x.0.2.2.2.0
33,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",24.0,A,D,x.0.2.2.2.0,x.x.0.2.3.2
36,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",24.5,D,E,x.x.0.2.3.2,0.2.2.1.0.0
37,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",26.0,A,Bm,x.0.2.2.2.0,x.2.4.4.3.2
39,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",26.5,Bm,A,x.2.4.4.3.2,x.0.2.2.2.0
78,"Stewart, Rod - I was only joking-Rythm Guitar.gpif",62.5,D,A,x.x.0.2.3.2,x.0.2.2.2.0
118,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,0.5,C,G,x.3.2.0.1.0,3.2.0.0.3.3
119,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,1.5,G,Am,3.2.0.0.3.3,x.0.2.2.1.0
120,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,2.5,Am,F,x.0.2.2.1.0,1.3.3.2.1.1
121,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,3.5,F,C/F,1.3.3.2.1.1,x.x.3.0.1.0
122,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,4.5,C/F,Dm,x.x.3.0.1.0,x.x.0.2.3.1
123,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,5.5,Dm,Bm/5-,x.x.0.2.3.1,x.2.3.4.3.1
124,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,6.5,Bm/5-,Dm,x.2.3.4.3.1,x.x.0.2.3.1
125,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,7.5,Dm,F,x.x.0.2.3.1,1.3.3.2.1.1
126,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,8.5,F,G,1.3.3.2.1.1,3.2.0.0.3.3
127,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,9.5,G,Dm,3.2.0.0.3.3,x.x.0.2.3.1
129,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,11.5,Bm/5-,C,x.2.3.4.3.1,x.3.2.0.1.0
130,Styxfan1186 Compositions - Acoustic #1 In C Major-Chords.gpif,14.5,Am,C,x.0.2.2.1.0,x.3.2.0.1.0
131,"704 exercises for guitar, 1-96 - Beast-1st Guitar.gpif",0.5,E5,D5,x.7.9.9.x.x,x.5.7.7.x.x
132,"704 exercises for guitar, 1-96 - Beast-1st Guitar.gpif",3.5,A5,E5,5.7.7.x.x.x,x.7.9.9.x.x
134,"704 exercises for guitar, 1-96 - Beast-1st Guitar.gpif",5.5,D5,A5,x.5.7.7.x.x,5.7.7.x.x.x
138,"704 exercises for guitar, 1-96 - Beast-1st Guitar.gpif",32.5,D5,E5,x.5.7.7.x.x,x.7.9.9.x.x
143,Dead Kennedys - Soup Is Good Food-East Bay Ray.gpif,36.0,A5,B5,5.7.7.x.x.x,7.9.9.x.x.x
144,Dead Kennedys - Soup Is Good Food-East Bay Ray.gpif,37.0,D#5,D5,11.13.13.x.x.x,10.12.12.x.x.x
145,Dead Kennedys - Soup Is Good Food-East Bay Ray.gpif,36.5,B5,D#5,7.9.9.x.x.x,11.13.13.x.x.x
147,Dead Kennedys - Soup Is Good Food-East Bay Ray.gpif,37.5,D5,A5,10.12.12.x.x.x,5.7.7.x.x.x
156,Dead Kennedys - Soup Is Good Food-East Bay Ray.gpif,43.0,D#5,D#5,11.13.13.x.x.x,11.13.13.x.x.x
158,Dead Kennedys - Soup Is Good Food-East Bay Ray.gpif,44.0,B5,C#5,7.9.9.x.x.x,9.11.11.x.x.x
159,Dead Kennedys - Soup Is Good Food-East Bay Ray.gpif,43.5,D#5,B5,11.13.13.x.x.x,7.9.9.x.x.x
160,Dead Kennedys - Soup Is Good Food-East Bay Ray.gpif,45.0,D5,A#5,10.12.12.x.x.x,6.8.8.x.x.x
161,Dead Kennedys - Soup Is Good Food-East Bay Ray.gpif,44.5,C#5,D5,9.11.11.x.x.x,10.12.12.x.x.x
163,Dead Kennedys - Soup Is Good Food-East Bay Ray.gpif,45.5,A#5,B5,6.8.8.x.x.x,7.9.9.x.x.x
270,Finger And Picking Exercise - Fingerstyle For Classical Guitar.gpif,0.5,D,A,x.x.0.2.3.2,x.0.2.2.2.0
271,Finger And Picking Exercise - Fingerstyle For Classical Guitar.gpif,1.5,A,A7,x.0.2.2.2.0,x.0.2.2.2.3
272,Finger And Picking Exercise - Fingerstyle For Classical Guitar.gpif,2.5,A7,D,x.0.2.2.2.3,x.x.0.2.3.2
273,Finger And Picking Exercise - Fingerstyle For Classical Guitar.gpif,3.5,D,D7,x.x.0.2.3.2,x.x.0.2.1.2
274,Finger And Picking Exercise - Fingerstyle For Classical Guitar.gpif,4.5,D7,G,x.x.0.2.1.2,3.2.0.0.0.3
275,Finger And Picking Exercise - Fingerstyle For Classical Guitar.gpif,5.5,G,A,3.2.0.0.0.3,x.0.2.2.2.0
276,Finger And Picking Exercise - Fingerstyle For Classical Guitar.gpif,7.0,D,Bm,x.x.0.2.3.2,x.2.4.4.3.2
277,Finger And Picking Exercise - Fingerstyle For Classical Guitar.gpif,6.5,A,D,x.0.2.2.2.0,x.x.0.2.3.2
278,Finger And Picking Exercise - Fingerstyle For Classical Guitar.gpif,8.0,G6,A,3.2.0.0.3.0,x.0.2.2.2.0
279,Finger And Picking Exercise - Fingerstyle For Classical Guitar.gpif,7.5,Bm,G6,x.2.4.4.3.2,3.2.0.0.3.0
281,Wampas (Les) - Comme un Ange (Qui Pleure)-Guitare 1 clean.gpif,10.0,A,A,x.0.2.2.2.0,x.0.2.2.2.0
282,Wampas (Les) - Comme un Ange (Qui Pleure)-Guitare 1 clean.gpif,11.0,D,D,x.x.0.2.3.2,x.x.0.2.3.2
283,Wampas (Les) - Comme un Ange (Qui Pleure)-Guitare 1 clean.gpif,10.5,A,D,x.0.2.2.2.0,x.x.0.2.3.2
302,Wampas (Les) - Comme un Ange (Qui Pleure)-Guitare 1 clean.gpif,30.5,D,A,x.x.0.2.3.2,x.0.2.2.2.0
305,Metallica - Motorbreath (2)-Kirk Hammett.gpif,105.0,B5,F#5,x.2.4.4.x.x,2.4.4.x.x.x
306,Metallica - Motorbreath (2)-Kirk Hammett.gpif,105.5,F#5,C#5,2.4.4.x.x.x,x.4.6.6.x.x
307,"Powell, Baden - A La Claire Fontaine.gpif",0.0,D,G7M,0.x.4.2.3.x,5.x.0.0.3.2
308,"Powell, Baden - A La Claire Fontaine.gpif",1.0,G7M/A,G7M,x.0.x.0.0.2,5.x.x.0.0.2
309,"Powell, Baden - A La Claire Fontaine.gpif",0.5,G7M,G7M/A,5.x.0.0.3.2,x.0.x.0.0.2
310,"Powell, Baden - A La Claire Fontaine.gpif",5.0,D,D7M/C#,x.x.0.2.3.2,x.4.x.2.3.2
311,"Powell, Baden - A La Claire Fontaine.gpif",6.0,Bm,A7,x.2.4.4.3.2,x.0.x.0.2.5
312,"Powell, Baden - A La Claire Fontaine.gpif",5.5,D7M/C#,Bm,x.4.x.2.3.2,x.2.4.4.3.2
313,"Powell, Baden - A La Claire Fontaine.gpif",6.5,A7,Bm7,x.0.x.0.2.5,x.2.x.4.3.5
314,"Powell, Baden - A La Claire Fontaine.gpif",7.5,Bm7,A7,x.2.x.4.3.5,x.0.x.0.2.0
315,"Powell, Baden - A La Claire Fontaine.gpif",11.0,G7M,Gm7M/5-,x.2.x.0.0.2,x.1.x.0.2.2
316,"Powell, Baden - A La Claire Fontaine.gpif",10.5,D7/C,G7M,x.3.x.2.3.2,x.2.x.0.0.2
317,"Powell, Baden - A La Claire Fontaine.gpif",11.5,Gm7M/5-,A6,x.1.x.0.2.2,x.0.x.2.2.2
318,"Simon, Paul - From Emily whenever i may find her.gpif",5.0,Asus4,Em,x.0.0.2.5.5,x.x.x.4.5.3
319,"Simon, Paul - From Emily whenever i may find her.gpif",4.5,Asus4,Asus4,x.0.0.2.5.5,x.0.0.2.5.5
320,"Simon, Paul - From Emily whenever i may find her.gpif",5.5,Em,G,x.x.x.4.5.3,3.5.5.4.3.3
321,"Simon, Paul - From Emily whenever i may find her.gpif",6.5,G,Em,3.5.5.4.3.3,x.x.0.0.5.3
322,"Simon, Paul - From Emily whenever i may find her.gpif",7.5,Em,D,x.x.0.0.5.3,x.x.0.7.7.5
323,"Simon, Paul - From Emily whenever i may find her.gpif",8.5,D,D,x.x.0.7.7.5,x.x.0.7.7.5
324,"Simon, Paul - From Emily whenever i may find her.gpif",9.5,D,C,x.x.0.7.7.5,x.x.0.5.5.3
325,"Simon, Paul - From Emily whenever i may find her.gpif",10.5,C,C,x.x.0.5.5.3,x.x.0.5.5.3
326,"Simon, Paul - From Emily whenever i may find her.gpif",11.5,C,G,x.x.0.5.5.3,3.5.5.4.3.3
327,"Simon, Paul - From Emily whenever i may find her.gpif",12.5,G,A,3.5.5.4.3.3,x.0.7.6.5.5
328,"Simon, Paul - From Emily whenever i may find her.gpif",14.0,A4,A,x.0.7.7.5.5,x.x.7.6.5.5
329,"Simon, Paul - From Emily whenever i may find her.gpif",13.5,A,A4,x.0.7.6.5.5,x.0.7.7.5.5
330,"Simon, Paul - From Emily whenever i may find her.gpif",14.5,A,D,x.x.7.6.5.5,x.x.0.7.7.5
332,"Simon, Paul - From Emily whenever i may find her.gpif",16.5,D,G,x.x.0.7.7.5,3.5.5.4.3.3
349,"Simon, Paul - From Emily whenever i may find her.gpif",35.5,A,A,x.0.7.6.5.5,5.7.7.6.5.5
350,"Simon, Paul - From Emily whenever i may find her.gpif",36.5,A,A,5.7.7.6.5.5,5.7.7.6.5.5
351,"Simon, Paul - From Emily whenever i may find her.gpif",40.5,G,Em,3.2.0.0.0.3,0.2.2.0.0.0
352,"Simon, Paul - From Emily whenever i may find her.gpif",44.5,C,G,0.3.2.0.1.x,3.5.5.4.3.3
354,"Simon, Paul - From Emily whenever i may find her.gpif",46.5,A,A,x.0.7.6.5.5,x.0.7.6.5.5
355,"Simon, Paul - From Emily whenever i may find her.gpif",47.5,A,D,x.0.7.6.5.5,x.x.0.7.7.5
356,"Simon, Paul - From Emily whenever i may find her.gpif",50.5,G,Em,3.5.5.4.3.3,0.x.x.0.5.3
357,"Simon, Paul - From Emily whenever i may find her.gpif",51.5,Em,D,0.x.x.0.5.3,x.x.0.7.7.5
359,"Simon, Paul - From Emily whenever i may find her.gpif",53.5,D,C,x.x.0.7.7.5,x.3.2.0.1.0
360,"Simon, Paul - From Emily whenever i may find her.gpif",56.5,G,G,3.5.5.4.3.3,3.5.5.4.3.3
362,"Simon, Paul - From Emily whenever i may find her.gpif",59.5,A,C,x.0.7.6.5.5,x.3.2.0.1.0
363,Composers Of MSB - 7th February-Rhythm.gpif,31.5,D,Asus2/D,x.x.0.7.7.5,x.x.0.2.0.0
364,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",76.0,C5,C5,x.3.5.5.x.x,x.3.5.5.x.x
365,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",75.5,D5,C5,x.x.0.2.3.x,x.3.5.5.x.x
366,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",76.5,C5,D5,x.3.5.5.x.x,x.x.0.2.3.x
368,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",78.5,C5,Bb5,x.3.5.5.x.x,x.1.3.3.x.x
369,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",79.5,Bb5,A5,x.1.3.3.x.x,5.7.7.x.x.x
370,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",80.5,A5,G5,5.7.7.x.x.x,3.5.5.x.x.x
371,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",81.5,G5,A5,3.5.5.x.x.x,5.7.7.x.x.x
372,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",82.5,A5,D5,5.7.7.x.x.x,x.x.0.2.3.x
379,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",87.5,Bb5,C5,x.1.3.3.x.x,x.3.5.5.x.x
380,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",88.5,C5,D5,x.3.5.5.x.x,x.5.7.7.x.x
381,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",95.5,A5,Bb5,5.7.7.x.x.x,x.1.3.3.x.x
382,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",96.5,Bb5,C/B,x.1.3.3.x.x,x.2.5.5.x.x
383,"Osbourne, Ozzy - Bark At The Moon-Rhythm And Fill Guitar.gpif",97.5,C/B,C,x.2.5.5.x.x,x.3.5.5.5.3
384,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",17.0,F#aug,Gaug,2.5.4.3.x.x,3.6.5.4.x.x
385,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",18.0,Gaug,G#aug,3.6.5.4.x.x,4.7.6.5.x.x
386,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",17.5,Aaug,Gaug,5.8.7.6.x.x,3.6.5.4.x.x
387,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",19.0,G#aug,Aaug,4.7.6.5.x.x,5.8.7.6.x.x
388,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",18.5,A#aug,G#aug,6.9.8.7.x.x,4.7.6.5.x.x
389,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",19.5,Baug,Caug,7.10.9.8.x.x,8.11.10.9.x.x
391,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",20.5,Caug,Baug,8.11.10.9.x.x,7.10.9.8.x.x
392,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",22.0,Caug,C#aug,8.11.10.9.x.x,9.12.11.10.x.x
393,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",21.5,Daug,Caug,10.13.12.11.x.x,8.11.10.9.x.x
394,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",23.0,Eaug,Daug,12.15.14.13.x.x,10.13.12.11.x.x
395,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",22.5,D#aug,Eaug,11.14.13.12.x.x,12.15.14.13.x.x
396,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",24.0,Daug,Eaug,6.9.8.7.x.x,4.7.6.5.x.x
397,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",23.5,Caug,Daug,8.11.10.9.x.x,6.9.8.7.x.x
398,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",32.5,G7,Dm7/5-,3.2.3.4.x.x,x.5.6.5.6.x
399,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",33.5,Dm7/5-,G7,x.5.6.5.6.x,3.2.3.4.x.x
401,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",36.0,G7,G7-9/Ab,3.2.3.4.x.x,4.2.3.4.x.x
403,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",48.0,Aaug,Baug,5.8.7.6.x.x,7.10.9.8.x.x
404,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",48.5,Daug,Baug,10.13.12.11.x.x,11.14.13.12.x.x
405,"Reinhardt, Django - Rythme Futur-Guitare Rythmique.gpif",49.5,Baug,Baug,11.14.13.12.x.x,11.14.13.12.x.x
406,"Dutronc, Jacques - Gentleman Cambrioleur.gpif",2.5,Em,Am7,0.x.2.0.0.x,3.0.2.2.1.0
407,"Dutronc, Jacques - Gentleman Cambrioleur.gpif",3.5,Am7,D9,3.0.2.2.1.0,2.x.0.x.1.0
408,"Dutronc, Jacques - Gentleman Cambrioleur.gpif",4.5,D9,D7,2.x.0.x.1.0,2.3.0.2.1.x
409,"Dutronc, Jacques - Gentleman Cambrioleur.gpif",5.5,D7,F#m,2.3.0.2.1.x,2.x.x.2.x.x
410,"Dutronc, Jacques - Gentleman Cambrioleur.gpif",6.5,F#m,G,2.x.x.2.x.x,3.x.0.0.0.3
411,"Dutronc, Jacques - Gentleman Cambrioleur.gpif",7.5,G,C6,3.x.0.0.0.3,3.x.x.2.1.x
412,"Dutronc, Jacques - Gentleman Cambrioleur.gpif",9.0,Gadd9,Bm,3.0.0.0.0.x,x.2.4.4.3.x
413,"Dutronc, Jacques - Gentleman Cambrioleur.gpif",8.5,C6,Gadd9,3.x.x.2.1.x,3.0.0.0.0.x
414,"Dutronc, Jacques - Gentleman Cambrioleur.gpif",9.5,Bm,Dm/G,x.2.4.4.3.x,3.0.3.2.3.x
415,"Dutronc, Jacques - Gentleman Cambrioleur.gpif",10.5,Dm/G,C,3.0.3.2.3.x,x.3.2.x.1.0
