,filename,measure,current_chord,next_chord,current_position,next_position
0,0,8.0,E5,G5,0.2.x.x.x.x,3.5.x.x.x.x
1,0,9.0,E5,G5,0.2.x.x.x.x,3.5.x.x.x.x
2,0,8.5,A5,E5,5.7.x.x.x.x,0.2.x.x.x.x
3,0,10.0,E5,G5,0.2.x.x.x.x,3.5.x.x.x.x
4,0,9.5,A5,E5,5.7.x.x.x.x,0.2.x.x.x.x
5,0,10.5,A5,E5,5.7.x.x.x.x,0.2.x.x.x.x
6,0,12.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
7,0,11.5,E5,G5,0.2.x.x.x.x,3.5.x.x.x.x
8,0,13.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
9,0,12.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
10,0,14.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
11,0,13.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
12,0,15.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
13,0,14.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
14,0,16.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
15,0,15.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
16,0,17.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
17,0,16.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
18,0,18.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
19,0,17.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
20,0,19.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
21,0,18.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
22,0,28.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
23,0,29.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
24,0,28.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
25,0,30.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
26,0,29.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
27,0,31.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
28,0,30.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
29,0,32.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
30,0,31.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
31,0,33.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
32,0,32.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
33,0,34.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
34,0,33.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
35,0,35.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
36,0,34.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
37,0,56.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
38,0,57.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
39,0,56.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
40,0,58.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
41,0,57.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
42,0,59.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
43,0,58.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
44,0,60.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
45,0,59.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
46,0,61.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
47,0,60.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
48,0,62.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
49,0,61.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
50,0,63.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
51,0,62.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
52,0,72.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
53,0,73.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
54,0,72.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
55,0,74.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
56,0,73.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
57,0,75.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
58,0,74.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
59,0,76.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
60,0,75.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
61,0,77.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
62,0,76.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
63,0,78.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
64,0,77.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
65,0,79.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
66,0,78.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
67,1,0.0,C,A,x.3.2.0.1.0,x.0.2.2.2.0
68,1,1.0,C,A,x.3.2.0.1.0,x.0.2.2.2.0
69,1,0.5,A,C,x.0.2.2.2.0,x.3.2.0.1.0
70,1,2.0,C,A,x.3.2.0.1.0,x.0.2.2.2.0
71,1,1.5,A,C,x.0.2.2.2.0,x.3.2.0.1.0
72,1,3.0,F,D,1.3.3.2.1.1,x.x.0.2.3.2
73,1,2.5,F,F,1.3.3.2.1.1,1.3.3.2.1.1
74,1,3.5,D,D,x.x.0.2.3.2,x.x.0.2.3.2
75,1,16.5,Bm,D,x.2.4.4.3.2,x.x.0.2.3.2
76,1,32.5,Bm,D,x.2.4.4.3.2,x.x.0.2.3.2
77,1,38.0,C,A,x.3.2.0.1.0,x.0.2.2.2.0
78,1,39.0,C,A,x.3.2.0.1.0,x.0.2.2.2.0
79,1,38.5,A,C,x.0.2.2.2.0,x.3.2.0.1.0
80,1,40.0,C,A,x.3.2.0.1.0,x.0.2.2.2.0
81,1,39.5,A,C,x.0.2.2.2.0,x.3.2.0.1.0
82,1,41.0,F,D,1.3.3.2.1.1,x.x.0.2.3.2
83,1,40.5,F,F,1.3.3.2.1.1,1.3.3.2.1.1
84,1,54.5,Bm,D,x.2.4.4.3.2,x.x.0.2.3.2
85,1,60.0,C,A,x.3.2.0.1.0,x.0.2.2.2.0
86,1,61.0,C,A,x.3.2.0.1.0,x.0.2.2.2.0
87,1,60.5,A,C,x.0.2.2.2.0,x.3.2.0.1.0
88,1,62.0,C,A,x.3.2.0.1.0,x.0.2.2.2.0
89,1,61.5,A,C,x.0.2.2.2.0,x.3.2.0.1.0
90,1,63.0,F,D,1.3.3.2.1.1,x.x.0.2.3.2
91,1,62.5,F,F,1.3.3.2.1.1,1.3.3.2.1.1
92,1,76.5,Bm,D,x.2.4.4.3.2,x.x.0.2.3.2
93,2,1.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
94,2,2.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
95,2,3.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
96,2,4.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
97,2,5.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
98,2,6.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
99,2,7.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
100,2,9.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
101,2,8.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
102,2,10.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
103,2,9.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
104,2,13.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
105,2,12.5,A7,Dm,x.0.2.0.2.0,x.5.7.7.6.5
106,2,14.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
107,2,13.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
108,2,23.5,Dm,Bb5,x.5.7.7.6.5,x.1.3.3.x.x
109,2,24.5,Bb5,C,x.1.3.3.x.x,x.3.5.5.5.x
110,2,27.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
111,2,28.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
112,2,27.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
113,2,31.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
114,2,32.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
115,2,31.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
116,2,36.5,F,C/E,x.8.7.5.6.5,x.7.5.5.5.x
117,2,37.5,C/E,Bb/D,x.7.5.5.5.x,x.5.3.3.3.x
118,2,42.0,Bb5,Bb,x.1.3.3.x.x,x.1.3.3.3.x
119,2,41.5,Dm,Bb5,x.5.7.7.6.5,x.1.3.3.x.x
120,2,42.5,Bb,C,x.1.3.3.3.x,x.3.5.5.5.x
121,2,43.5,C,Bb5,x.3.5.5.5.x,x.1.3.3.x.x
122,2,45.0,Bb,C,x.1.3.3.3.x,x.3.5.5.5.x
123,2,44.5,Bb5,Bb,x.1.3.3.x.x,x.1.3.3.3.x
124,2,47.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
125,2,51.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
126,2,53.5,C,C,x.3.5.5.5.x,x.3.5.5.5.x
127,2,55.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
128,2,54.5,C,Dm,x.3.5.5.5.x,x.5.7.7.6.5
129,2,56.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
130,2,55.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
131,2,59.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
132,2,58.5,A7,Dm,x.0.2.0.2.0,x.5.7.7.6.5
133,2,60.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
134,2,59.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
135,2,62.0,A7,F,x.0.2.0.2.0,x.8.7.5.6.5
136,2,65.5,C,C/E,x.3.5.5.5.x,x.7.5.5.5.x
137,2,69.5,Dm,Bb,x.5.7.7.6.5,x.1.3.3.3.x
138,2,70.5,Bb,C,x.1.3.3.3.x,x.3.5.5.5.x
139,2,73.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
140,2,74.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
141,2,73.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
142,2,77.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
143,2,78.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
144,2,77.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
145,2,78.5,A,A7,x.0.2.2.2.0,x.0.2.0.2.0
146,2,80.0,A7sus2,F,x.0.2.0.0.0,x.8.7.5.6.5
147,2,79.5,A7,A7sus2,x.0.2.0.2.0,x.0.2.0.0.0
148,2,83.5,C/E,Bb,x.7.5.5.5.x,x.1.3.3.3.x
149,2,87.5,Dm,Bb,x.5.7.7.6.5,x.1.3.3.3.x
150,2,88.5,Bb,C,x.1.3.3.3.x,x.3.5.5.5.x
151,2,89.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
