,filename,Measure,Duration,Chords,Offsets,Shapes
0,0,0,4.0,[],[],[]
1,0,1,4.0,[],[],[]
2,0,2,4.0,[],[],[]
3,0,3,4.0,[],[],[]
4,0,4,0.0,[],[],[]
5,0,5,0.0,[],[],[]
6,0,6,0.0,[],[],[]
7,0,7,0.0,[],[],[]
8,0,8,4.0,"['E5', 'G5', 'A5']","[1.0, 2.0, 3.0]","['0.2.x.x.x.x', '3.5.x.x.x.x', '5.7.x.x.x.x']"
9,0,9,4.0,"['E5', 'G5', 'A5']","[1.0, 2.0, 3.0]","['0.2.x.x.x.x', '3.5.x.x.x.x', '5.7.x.x.x.x']"
10,0,10,4.0,"['E5', 'G5', 'A5']","[1.0, 2.0, 3.0]","['0.2.x.x.x.x', '3.5.x.x.x.x', '5.7.x.x.x.x']"
11,0,11,4.0,['E5'],[0.0],['0.2.x.x.x.x']
12,0,12,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
13,0,13,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
14,0,14,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
15,0,15,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
16,0,16,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
17,0,17,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
18,0,18,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
19,0,19,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
20,0,20,4.0,[],[],[]
21,0,21,0.0,[],[],[]
22,0,22,0.0,[],[],[]
23,0,23,0.0,[],[],[]
24,0,24,4.0,[],[],[]
25,0,25,4.0,[],[],[]
26,0,26,4.0,[],[],[]
27,0,27,4.0,[],[],[]
28,0,28,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
29,0,29,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
30,0,30,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
31,0,31,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
32,0,32,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
33,0,33,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
34,0,34,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
35,0,35,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
36,0,36,4.0,[],[],[]
37,0,37,0.0,[],[],[]
38,0,38,0.0,[],[],[]
39,0,39,0.0,[],[],[]
40,0,40,4.0,[],[],[]
41,0,41,4.0,[],[],[]
42,0,42,4.0,[],[],[]
43,0,43,4.0,[],[],[]
44,0,44,4.0,[],[],[]
45,0,45,4.0,[],[],[]
46,0,46,4.0,[],[],[]
47,0,47,4.0,[],[],[]
48,0,48,4.0,[],[],[]
49,0,49,4.0,[],[],[]
50,0,50,4.0,[],[],[]
51,0,51,4.0,[],[],[]
52,0,52,4.0,[],[],[]
53,0,53,4.0,[],[],[]
54,0,54,4.0,[],[],[]
55,0,55,4.0,[],[],[]
56,0,56,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
57,0,57,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
58,0,58,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
59,0,59,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
60,0,60,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
61,0,61,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
62,0,62,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
63,0,63,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
64,0,64,4.0,[],[],[]
65,0,65,0.0,[],[],[]
66,0,66,0.0,[],[],[]
67,0,67,0.0,[],[],[]
68,0,68,4.0,[],[],[]
69,0,69,4.0,[],[],[]
70,0,70,4.0,[],[],[]
71,0,71,4.0,[],[],[]
72,0,72,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
73,0,73,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
74,0,74,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
75,0,75,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
76,0,76,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
77,0,77,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
78,0,78,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
79,0,79,4.0,"['G5', 'A5']","[2.0, 3.0]","['3.5.x.x.x.x', '5.7.x.x.x.x']"
80,0,80,4.0,[],[],[]
81,0,81,0.0,[],[],[]
82,0,82,0.0,[],[],[]
83,0,83,0.0,[],[],[]
84,0,84,4.0,[],[],[]
85,0,85,4.0,[],[],[]
86,0,86,4.0,[],[],[]
87,0,87,4.0,[],[],[]
88,0,88,4.0,[],[],[]
89,0,89,4.0,[],[],[]
90,0,90,4.0,[],[],[]
91,0,91,4.0,[],[],[]
92,0,92,4.0,[],[],[]
93,0,93,4.0,[],[],[]
94,0,94,4.0,[],[],[]
95,0,95,4.0,[],[],[]
96,0,96,4.0,[],[],[]
97,0,97,4.0,[],[],[]
98,0,98,4.0,[],[],[]
99,0,99,4.0,[],[],[]
100,0,100,4.0,[],[],[]
101,0,101,4.0,[],[],[]
102,0,102,4.0,[],[],[]
103,0,103,4.0,[],[],[]
104,0,104,4.0,[],[],[]
105,0,105,4.0,[],[],[]
106,0,106,4.0,[],[],[]
107,0,107,4.0,[],[],[]
108,0,108,4.0,[],[],[]
109,0,109,4.0,[],[],[]
110,0,110,4.0,[],[],[]
111,0,111,4.0,[],[],[]
112,0,112,0.0,[],[],[]
113,0,113,0.0,[],[],[]
114,0,114,4.0,[],[],[]
115,0,115,4.0,[],[],[]
116,0,116,4.0,[],[],[]
117,0,117,4.0,[],[],[]
118,0,118,4.0,[],[],[]
119,1,0,4.0,"['C', 'A']","[0.0, 1.5]","['x.3.2.0.1.0', 'x.0.2.2.2.0']"
120,1,1,4.0,"['C', 'A']","[0.0, 1.5]","['x.3.2.0.1.0', 'x.0.2.2.2.0']"
121,1,2,4.0,"['C', 'A', 'G', 'F']","[0.0, 1.5, 2.5, 3.5]","['x.3.2.0.1.0', 'x.0.2.2.2.0', '3.2.0.0.0.3', '1.3.3.2.1.1']"
122,1,3,4.0,"['F', 'D']","[0.0, 3.0]","['1.3.3.2.1.1', 'x.x.0.2.3.2']"
123,1,4,4.0,['D'],[0.0],['x.x.0.2.3.2']
124,1,5,4.0,[],[],[]
125,1,6,4.0,['D'],[0.0],['x.x.0.2.3.2']
126,1,7,4.0,[],[],[]
127,1,8,4.0,[],[],[]
128,1,9,4.0,[],[],[]
129,1,10,4.0,[],[],[]
130,1,11,4.0,[],[],[]
131,1,12,4.0,[],[],[]
132,1,13,4.0,[],[],[]
133,1,14,4.0,['A'],[0.0],['x.0.2.2.2.0']
134,1,15,4.0,[],[],[]
