,filename,measure,current_chord,next_chord,current_position,next_position
0,Smashing Pumpkins - Tonite Reprise.gpif,15.0,C,Am7,x.3.2.0.1.0,x.0.2.0.1.0
1,Smashing Pumpkins - Tonite Reprise.gpif,14.5,Am,C,x.x.2.2.1.x,x.3.2.0.1.0
2,Smashing Pumpkins - Tonite Reprise.gpif,16.0,G,Dsus4/F#,3.2.0.x.x.x,2.0.0.2.3.3
3,Smashing Pumpkins - Tonite Reprise.gpif,15.5,Am7,G,x.0.2.0.1.0,3.2.0.x.x.x
4,Smashing Pumpkins - Tonite Reprise.gpif,16.5,Dsus4/F#,Em,2.0.0.2.3.3,0.2.2.0.0.0
5,Smashing Pumpkins - Tonite Reprise.gpif,20.5,Cadd9,Em7,x.3.2.0.3.0,x.2.0.0.3.0
6,Smashing Pumpkins - Tonite Reprise.gpif,21.5,Em7,Dsus2,x.2.0.0.3.0,x.x.0.2.3.0
7,Cat Stevens - Sad Lisa (2).gpif,5.5,G,F,3.x.0.x.0.x,1.3.3.2.1.1
8,Cat Stevens - Sad Lisa (2).gpif,7.0,G,Am,3.x.0.x.0.x,x.0.2.x.1.0
9,Cat Stevens - Sad Lisa (2).gpif,6.5,F,G,1.3.3.2.1.1,3.x.0.x.0.x
10,Cat Stevens - Sad Lisa (2).gpif,7.5,Am,C,x.0.2.x.1.0,x.3.2.0.1.0
11,Cat Stevens - Sad Lisa (2).gpif,11.0,Am,D,x.0.2.2.1.0,2.x.0.2.3.x
12,Cat Stevens - Sad Lisa (2).gpif,10.5,G,Am,3.x.0.x.0.x,x.0.2.2.1.0
13,Cat Stevens - Sad Lisa (2).gpif,11.5,D,D,2.x.0.2.3.x,x.x.0.2.3.2
14,Cat Stevens - Sad Lisa (2).gpif,12.5,D,Am,x.x.0.2.3.2,x.0.2.2.1.0
15,Cat Stevens - Sad Lisa (2).gpif,13.5,D,G,2.x.0.2.3.x,3.x.0.x.0.x
16,Cat Stevens - Sad Lisa (2).gpif,17.0,G,C,3.x.0.x.0.x,x.3.2.0.1.0
17,Cat Stevens - Sad Lisa (2).gpif,16.5,Am,G,x.0.2.x.1.0,3.x.0.x.0.x
18,Cat Stevens - Sad Lisa (2).gpif,20.0,Am,D,x.0.2.x.1.0,2.x.0.2.3.x
19,Cat Stevens - Sad Lisa.gpif,5.5,G,F,3.x.0.x.0.x,1.3.3.2.1.1
20,Cat Stevens - Sad Lisa.gpif,7.0,G,Am,3.x.0.x.0.x,x.0.2.x.1.0
21,Cat Stevens - Sad Lisa.gpif,6.5,F,G,1.3.3.2.1.1,3.x.0.x.0.x
22,Cat Stevens - Sad Lisa.gpif,7.5,Am,C,x.0.2.x.1.0,x.3.2.0.1.0
23,Cat Stevens - Sad Lisa.gpif,11.0,Am,D,x.0.2.2.1.0,2.x.0.2.3.x
24,Cat Stevens - Sad Lisa.gpif,10.5,G,Am,3.x.0.x.0.x,x.0.2.2.1.0
25,Cat Stevens - Sad Lisa.gpif,11.5,D,D,2.x.0.2.3.x,x.x.0.2.3.2
26,Cat Stevens - Sad Lisa.gpif,12.5,D,Am,x.x.0.2.3.2,x.0.2.2.1.0
27,Cat Stevens - Sad Lisa.gpif,13.5,D,G,2.x.0.2.3.x,3.x.0.x.0.x
28,Cat Stevens - Sad Lisa.gpif,17.0,G,C,3.x.0.x.0.x,x.3.2.0.1.0
29,Cat Stevens - Sad Lisa.gpif,16.5,Am,G,x.0.2.x.1.0,3.x.0.x.0.x
30,Cat Stevens - Sad Lisa.gpif,20.0,Am,D,x.0.2.x.1.0,2.x.0.2.3.x
31,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",1.0,E9+/5+,E9+/5+,0.7.6.7.8.8,0.7.6.7.8.8
32,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",5.0,E7,E7sus4/F,x.x.9.9.9.10,x.8.9.9.10.10
33,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",4.5,E9+/5+,E7,0.7.6.7.8.8,x.x.9.9.9.10
34,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",5.5,C7M/5+/D,Dm7M9,x.17.14.16.13.16,x.17.15.18.17.17
35,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",16.0,F5,G/F,x.8.10.10.x.x,x.8.12.12.12.x
36,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",16.5,G/F,Cadd9/E,x.8.12.12.12.x,x.7.10.7.8.x
37,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",18.0,F/E,C/E,x.x.x.9.6.5,x.7.10.9.8.x
38,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",17.5,Cadd9/E,F/E,x.7.10.7.8.x,x.x.x.9.6.5
39,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",19.0,Dm,F6/C,x.5.7.7.6.x,8.x.7.7.6.x
40,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",18.5,C/E,Dm,x.7.10.9.8.x,x.5.7.7.6.x
41,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",19.5,F6/C,Dm/B,8.x.7.7.6.x,7.x.7.7.6.x
42,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",21.0,A#,Dm/B,6.8.8.7.6.x,7.x.7.7.6.x
43,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",20.5,Dm/B,A#,7.x.7.7.6.x,6.8.8.7.6.x
44,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",21.5,Dm/B,Eadd9-,7.x.7.7.6.x,0.2.3.1.0.0
45,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",22.5,Eadd9-,E/F,0.2.3.1.0.0,x.8.9.9.9.12
46,"vidal, Gonzalo - Push Up-Pista Emilio.gpif",23.5,E/F,Dm/B,x.8.9.9.9.12,7.x.7.7.6.x
47,Pantera - Suicide Note Part 1-Dimebag Underlay 12-String.gpif,4.0,Gadd11+,Gadd11+/F#,5.5.0.0.2.x,4.5.0.0.2.x
48,Pantera - Suicide Note Part 1-Dimebag Underlay 12-String.gpif,4.5,Gadd11+/F#,G,4.5.0.0.2.x,5.5.0.0.0.x
49,Pantera - Suicide Note Part 1-Dimebag Underlay 12-String.gpif,16.5,D,G/E,0.0.0.2.3.2,2.x.0.0.3.x
50,Pantera - Suicide Note Part 1-Dimebag 12-String.gpif,4.0,Gadd11+,Gadd11+/F#,5.5.0.0.2.x,4.5.0.0.2.x
51,Pantera - Suicide Note Part 1-Dimebag 12-String.gpif,4.5,Gadd11+/F#,G,4.5.0.0.2.x,5.5.0.0.0.x
52,Pantera - Suicide Note Part 1-Dimebag 12-String.gpif,16.5,D,G/E,0.0.0.2.3.2,2.x.0.0.3.x
