,filename,measure,current_chord,next_chord,current_position,next_position
0,0,8.0,E5,G5,0.2.x.x.x.x,3.5.x.x.x.x
2,0,8.5,A5,E5,5.7.x.x.x.x,0.2.x.x.x.x
6,0,12.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
9,0,12.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
67,1,0.0,C,A,x.3.2.0.1.0,x.0.2.2.2.0
69,1,0.5,A,C,x.0.2.2.2.0,x.3.2.0.1.0
72,1,3.0,F,D,1.3.3.2.1.1,x.x.0.2.3.2
73,1,2.5,F,F,1.3.3.2.1.1,1.3.3.2.1.1
74,1,3.5,D,D,x.x.0.2.3.2,x.x.0.2.3.2
75,1,16.5,Bm,D,x.2.4.4.3.2,x.x.0.2.3.2
93,2,1.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
100,2,9.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
102,2,10.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
103,2,9.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
105,2,12.5,A7,Dm,x.0.2.0.2.0,x.5.7.7.6.5
108,2,23.5,Dm,Bb5,x.5.7.7.6.5,x.1.3.3.x.x
109,2,24.5,Bb5,C,x.1.3.3.x.x,x.3.5.5.5.x
116,2,36.5,F,C/E,x.8.7.5.6.5,x.7.5.5.5.x
117,2,37.5,C/E,Bb/D,x.7.5.5.5.x,x.5.3.3.3.x
118,2,42.0,Bb5,Bb,x.1.3.3.x.x,x.1.3.3.3.x
120,2,42.5,Bb,C,x.1.3.3.3.x,x.3.5.5.5.x
121,2,43.5,C,Bb5,x.3.5.5.5.x,x.1.3.3.x.x
126,2,53.5,C,C,x.3.5.5.5.x,x.3.5.5.5.x
128,2,54.5,C,Dm,x.3.5.5.5.x,x.5.7.7.6.5
135,2,62.0,A7,F,x.0.2.0.2.0,x.8.7.5.6.5
136,2,65.5,C,C/E,x.3.5.5.5.x,x.7.5.5.5.x
137,2,69.5,Dm,Bb,x.5.7.7.6.5,x.1.3.3.3.x
145,2,78.5,A,A7,x.0.2.2.2.0,x.0.2.0.2.0
146,2,80.0,A7sus2,F,x.0.2.0.0.0,x.8.7.5.6.5
147,2,79.5,A7,A7sus2,x.0.2.0.2.0,x.0.2.0.0.0
148,2,83.5,C/E,Bb,x.7.5.5.5.x,x.1.3.3.3.x
208,3,1.0,D5,A5,x.5.7.7.x.x,5.7.7.x.x.x
209,3,2.0,F#5,E5,2.4.4.x.x.x,0.2.2.x.x.x
210,3,1.5,A5,F#5,5.7.7.x.x.x,2.4.4.x.x.x
211,4,11.5,F5,D5,1.3.x.x.x.x,x.x.0.2.x.x
213,4,30.5,D5,E5,x.x.0.2.x.x,0.2.x.x.x.x
214,4,39.5,E5,F5,x.7.9.x.x.x,x.8.10.x.x.x
215,4,57.5,Gb5,Eb5,2.4.x.x.x.x,x.6.8.x.x.x
216,4,58.5,Eb5,F5,x.6.8.x.x.x,1.3.x.x.x.x
217,4,61.5,Eb5,Ab5,x.6.8.x.x.x,4.6.x.x.x.x
221,5,8.5,G,Em,3.2.0.0.0.3,0.2.2.0.0.3
222,5,9.5,Em,C,0.2.2.0.0.3,x.3.2.0.1.0
223,5,10.5,C,A7,x.3.2.0.1.0,x.0.2.0.2.0
224,5,11.5,A7,G,x.0.2.0.2.0,3.2.0.0.0.3
227,5,14.5,C,A,x.3.2.0.1.0,x.0.2.2.2.0
235,5,31.5,A,A7,x.0.2.2.2.0,x.0.2.0.2.0
236,5,32.5,A7,E,x.0.2.0.2.0,0.2.2.1.0.0
237,5,33.5,E,A7,0.2.2.1.0.0,x.0.2.0.2.0
238,5,34.5,A7,E7,x.0.2.0.2.0,0.2.0.1.3.0
239,5,35.5,E7,A7,0.2.0.1.3.0,x.0.2.0.2.0
242,5,38.5,A7,D7,x.0.2.0.2.0,x.x.0.2.1.2
265,5,81.5,A7,C,x.0.2.0.2.0,x.3.2.0.1.0
266,5,82.5,C,G,x.3.2.0.1.0,3.2.0.0.0.3
267,6,0.5,C,C7M,x.3.2.x.1.x,x.3.2.x.0.x
268,6,1.5,C7M,C9,x.3.2.x.0.x,x.3.2.x.3.x
269,6,2.5,C9,C,x.3.2.x.3.x,x.3.2.x.1.x
270,6,3.5,C,A9,x.3.2.x.1.x,x.0.2.2.0.x
271,6,4.5,A9,Asus4,x.0.2.2.0.x,x.0.2.2.3.x
272,6,5.5,Asus4,Am,x.0.2.2.3.x,x.0.2.2.1.x
273,6,6.5,Am,A9,x.0.2.2.1.x,x.0.2.2.0.x
274,6,7.5,A9,C9,x.0.2.2.0.x,x.3.2.x.3.x
278,6,11.5,C9,Am,x.3.2.x.3.x,x.0.2.2.1.x
281,6,15.0,Am,G/B,x.0.2.2.1.x,x.2.0.0.3.x
283,6,15.5,G/B,C,x.2.0.0.3.x,x.3.2.x.1.x
284,6,16.5,C,G/B,x.3.2.x.1.x,x.2.0.0.3.x
285,6,17.5,G/B,Am,x.2.0.0.3.x,x.0.2.2.1.x
286,6,18.5,Am,Am,x.0.2.2.1.x,x.0.2.2.1.x
287,6,19.5,Am,G,x.0.2.2.1.x,3.2.0.0.0.3
288,6,20.5,G,Dm,3.2.0.0.0.3,x.x.0.2.3.1
289,6,21.5,Dm,Am,x.x.0.2.3.1,x.0.2.2.1.x
300,6,31.5,Am,D/F#,x.0.2.2.1.x,2.x.0.2.3.x
301,6,32.5,D/F#,G,2.x.0.2.3.x,3.2.0.0.0.3
302,6,33.5,G,Am,3.2.0.0.0.3,x.0.2.2.1.x
303,6,34.5,Am,Am/G,x.0.2.2.1.x,3.x.2.2.1.x
304,6,35.5,Am/G,D/F#,3.x.2.2.1.x,2.x.0.2.3.x
332,6,61.5,G,Am9,3.2.0.0.0.3,x.0.7.5.0.x
333,6,62.5,Am9,Am9,x.0.7.5.0.x,x.0.7.5.0.x
334,6,63.5,Am9,G/A,x.0.7.5.0.x,x.0.5.7.0.x
335,6,64.5,G/A,G/A,x.0.5.7.0.x,x.0.5.7.0.x
336,6,65.5,G/A,Fadd#11/A,x.0.5.7.0.x,x.0.3.5.0.x
337,6,66.5,Fadd#11/A,Fadd#11/A,x.0.3.5.0.x,x.0.3.5.0.x
338,6,67.5,Fadd#11/A,F6/A,x.0.3.5.0.x,x.0.3.5.3.x
339,6,68.5,F6/A,Fadd#11/A,x.0.3.5.3.x,x.0.3.5.0.x
340,6,69.5,Fadd#11/A,Am9,x.0.3.5.0.x,x.0.7.5.0.x
349,6,78.5,Fadd#11/A,C,x.0.3.5.0.x,x.3.2.x.1.x
357,6,86.5,A9,Am,x.0.2.2.0.x,x.0.2.2.1.x
408,7,0.0,E,Ab/Eb,0.7.9.9.9.x,x.6.6.5.4.x
409,7,1.0,C#m,E7/B,x.4.6.6.5.x,7.x.6.7.5.x
410,7,0.5,Ab/Eb,C#m,x.6.6.5.4.x,x.4.6.6.5.x
411,7,2.0,A,E/G#,5.7.7.6.5.5,4.x.6.4.5.x
412,7,1.5,E7/B,A,7.x.6.7.5.x,5.7.7.6.5.5
413,7,3.0,F#,B7,2.4.4.3.2.2,x.2.1.2.0.2
414,7,2.5,E/G#,F#,4.x.6.4.5.x,2.4.4.3.2.2
416,7,3.5,B7,E,x.2.1.2.0.2,0.7.9.9.9.x
429,7,11.0,A,B7,x.0.2.2.2.x,x.2.1.2.0.2
430,7,10.5,E/G#,A,4.x.6.4.5.x,x.0.2.2.2.x
432,7,11.5,E,E,0.2.2.1.0.0,0.7.9.9.9.x
433,7,13.0,C#m,E9/B,x.4.6.6.5.x,x.2.x.x.3.2
436,7,13.5,E9/B,A,x.2.x.x.3.2,5.7.7.6.5.5
437,7,15.0,F#,B7,2.4.4.3.2.2,x.2.4.2.4.x
440,7,15.5,B7,E,x.2.4.2.4.x,0.7.9.9.9.x
463,7,32.0,E,B7,0.2.2.1.0.0,x.2.1.2.0.2
504,8,0.5,G5,Gmaj7,3.x.0.0.3.3,3.x.0.0.3.2
505,8,3.0,Gaug,G,3.x.x.4.4.x,3.x.x.4.3.x
506,8,3.5,Eb/G,Gadd9,3.x.5.3.4.x,3.x.0.2.x.x
507,8,5.0,G6,G,x.x.0.4.3.0,3.x.0.0.3.x
508,8,4.5,Gadd9,G6,3.x.0.2.x.x,x.x.0.4.3.0
509,8,7.0,Cm6/+9,Cm6,x.3.1.2.3.x,x.3.1.2.1.x
510,8,7.5,G,G,3.x.0.0.3.x,3.x.0.0.3.x
512,8,8.5,G,Cm6/+9,3.x.0.0.3.x,x.3.1.2.3.x
513,8,9.5,G9,Gm9,x.x.5.4.6.5,x.x.8.7.6.5
514,8,10.5,Gm9,Csus4,x.x.8.7.6.5,x.x.3.0.1.3
515,8,12.0,C,Csus4,x.3.2.0.1.3,x.x.3.0.1.3
516,8,11.5,Csus4,C,x.x.3.0.1.3,x.3.2.0.1.3
517,8,13.0,C,Ab9,3.x.2.0.1.3,x.6.4.5.x.x
518,8,12.5,Csus4,C,x.x.3.0.1.3,3.x.2.0.1.3
