,filename,measure,current_chord,next_chord,current_position,next_position
0,0,8.0,G5,A5,3.5.x.x.x.x,5.7.x.x.x.x
1,0,8.0,E5,G5,0.2.x.x.x.x,3.5.x.x.x.x
2,0,8.5,A5,E5,5.7.x.x.x.x,0.2.x.x.x.x
3,0,12.5,A5,G5,5.7.x.x.x.x,3.5.x.x.x.x
4,2,83.5,C/E,Bb,x.7.5.5.5.x,x.1.3.3.3.x
5,2,79.5,A7,A7sus2,x.0.2.0.2.0,x.0.2.0.0.0
6,2,80.0,A7sus2,F,x.0.2.0.0.0,x.8.7.5.6.5
7,2,36.5,F,C/E,x.8.7.5.6.5,x.7.5.5.5.x
8,2,1.5,Dm,Dm,x.5.7.7.6.5,x.5.7.7.6.5
9,2,9.0,Dm,C,x.5.7.7.6.5,x.3.5.5.5.x
10,2,10.0,Bb,A,x.1.3.3.3.x,x.0.2.2.2.0
11,2,9.5,C,Bb,x.3.5.5.5.x,x.1.3.3.3.x
12,2,24.5,Bb5,C,x.1.3.3.x.x,x.3.5.5.5.x
13,2,23.5,Dm,Bb5,x.5.7.7.6.5,x.1.3.3.x.x
14,2,43.5,C,Bb5,x.3.5.5.5.x,x.1.3.3.x.x
15,2,12.5,A7,Dm,x.0.2.0.2.0,x.5.7.7.6.5
16,2,42.5,Bb,C,x.1.3.3.3.x,x.3.5.5.5.x
17,2,53.5,C,C,x.3.5.5.5.x,x.3.5.5.5.x
18,2,54.5,C,Dm,x.3.5.5.5.x,x.5.7.7.6.5
19,2,65.5,C,C/E,x.3.5.5.5.x,x.7.5.5.5.x
20,2,42.0,Bb5,Bb,x.1.3.3.x.x,x.1.3.3.3.x
21,2,37.5,C/E,Bb/D,x.7.5.5.5.x,x.5.3.3.3.x
22,2,62.0,A7,F,x.0.2.0.2.0,x.8.7.5.6.5
23,2,69.5,Dm,Bb,x.5.7.7.6.5,x.1.3.3.3.x
24,2,78.5,A,A7,x.0.2.2.2.0,x.0.2.0.2.0
25,5,31.5,A,A7,x.0.2.2.2.0,x.0.2.0.2.0
26,5,32.5,A7,E,x.0.2.0.2.0,0.2.2.1.0.0
27,5,82.5,C,G,x.3.2.0.1.0,3.2.0.0.0.3
28,5,38.5,A7,D7,x.0.2.0.2.0,x.x.0.2.1.2
29,5,33.5,E,A7,0.2.2.1.0.0,x.0.2.0.2.0
30,5,34.5,A7,E7,x.0.2.0.2.0,0.2.0.1.3.0
31,5,35.5,E7,A7,0.2.0.1.3.0,x.0.2.0.2.0
32,5,11.5,A7,G,x.0.2.0.2.0,3.2.0.0.0.3
33,5,10.5,C,A7,x.3.2.0.1.0,x.0.2.0.2.0
34,5,9.5,Em,C,0.2.2.0.0.3,x.3.2.0.1.0
35,5,8.5,G,Em,3.2.0.0.0.3,0.2.2.0.0.3
36,5,14.5,C,A,x.3.2.0.1.0,x.0.2.2.2.0
37,5,81.5,A7,C,x.0.2.0.2.0,x.3.2.0.1.0
38,6,15.0,Am,G/B,x.0.2.2.1.x,x.2.0.0.3.x
39,6,0.5,C,C7M,x.3.2.x.1.x,x.3.2.x.0.x
40,6,61.5,G,Am9,3.2.0.0.0.3,x.0.7.5.0.x
41,6,35.5,Am/G,D/F#,3.x.2.2.1.x,2.x.0.2.3.x
42,6,34.5,Am,Am/G,x.0.2.2.1.x,3.x.2.2.1.x
43,6,33.5,G,Am,3.2.0.0.0.3,x.0.2.2.1.x
44,6,32.5,D/F#,G,2.x.0.2.3.x,3.2.0.0.0.3
45,6,31.5,Am,D/F#,x.0.2.2.1.x,2.x.0.2.3.x
46,6,21.5,Dm,Am,x.x.0.2.3.1,x.0.2.2.1.x
47,6,20.5,G,Dm,3.2.0.0.0.3,x.x.0.2.3.1
48,6,19.5,Am,G,x.0.2.2.1.x,3.2.0.0.0.3
49,6,18.5,Am,Am,x.0.2.2.1.x,x.0.2.2.1.x
50,6,17.5,G/B,Am,x.2.0.0.3.x,x.0.2.2.1.x
51,6,1.5,C7M,C9,x.3.2.x.0.x,x.3.2.x.3.x
52,6,2.5,C9,C,x.3.2.x.3.x,x.3.2.x.1.x
53,6,62.5,Am9,Am9,x.0.7.5.0.x,x.0.7.5.0.x
54,6,16.5,C,G/B,x.3.2.x.1.x,x.2.0.0.3.x
55,6,86.5,A9,Am,x.0.2.2.0.x,x.0.2.2.1.x
56,6,78.5,Fadd#11/A,C,x.0.3.5.0.x,x.3.2.x.1.x
57,6,69.5,Fadd#11/A,Am9,x.0.3.5.0.x,x.0.7.5.0.x
58,6,68.5,F6/A,Fadd#11/A,x.0.3.5.3.x,x.0.3.5.0.x
59,6,67.5,Fadd#11/A,F6/A,x.0.3.5.0.x,x.0.3.5.3.x
60,6,66.5,Fadd#11/A,Fadd#11/A,x.0.3.5.0.x,x.0.3.5.0.x
61,6,3.5,C,A9,x.3.2.x.1.x,x.0.2.2.0.x
62,6,65.5,G/A,Fadd#11/A,x.0.5.7.0.x,x.0.3.5.0.x
63,6,4.5,A9,Asus4,x.0.2.2.0.x,x.0.2.2.3.x
64,6,5.5,Asus4,Am,x.0.2.2.3.x,x.0.2.2.1.x
65,6,6.5,Am,A9,x.0.2.2.1.x,x.0.2.2.0.x
66,6,7.5,A9,C9,x.0.2.2.0.x,x.3.2.x.3.x
67,6,11.5,C9,Am,x.3.2.x.3.x,x.0.2.2.1.x
68,6,63.5,Am9,G/A,x.0.7.5.0.x,x.0.5.7.0.x
69,6,64.5,G/A,G/A,x.0.5.7.0.x,x.0.5.7.0.x
70,6,15.5,G/B,C,x.2.0.0.3.x,x.3.2.x.1.x
71,8,4.5,Gadd9,G6,3.x.0.2.x.x,x.x.0.4.3.0
72,8,112.5,G,Ab9,3.5.5.4.3.3,x.x.6.5.7.6
73,8,13.0,Ab9,G9,x.6.4.5.x.x,x.5.3.4.3.x
74,8,13.0,C,Ab9,3.x.2.0.1.3,x.6.4.5.x.x
75,8,11.5,Csus4,C,x.x.3.0.1.3,x.3.2.0.1.3
76,8,12.0,C,Csus4,x.3.2.0.1.3,x.x.3.0.1.3
77,8,10.5,Gm9,Csus4,x.x.8.7.6.5,x.x.3.0.1.3
78,8,9.5,G9,Gm9,x.x.5.4.6.5,x.x.8.7.6.5
79,8,8.5,G,Cm6/+9,3.x.0.0.3.x,x.3.1.2.3.x
80,8,9.0,Ab9,G9,x.x.6.5.7.6,x.x.5.4.6.5
81,8,9.0,Cm6,Ab9,x.3.1.2.1.x,x.x.6.5.7.6
82,8,7.5,G,G,3.x.0.0.3.x,3.x.0.0.3.x
83,8,7.0,Cm6,G,x.3.1.2.1.x,3.x.0.0.3.x
84,8,7.0,Cm6/+9,Cm6,x.3.1.2.3.x,x.3.1.2.1.x
85,8,5.0,G6,G,x.x.0.4.3.0,3.x.0.0.3.x
86,8,3.5,Eb/G,Gadd9,3.x.5.3.4.x,3.x.0.2.x.x
87,8,3.0,G,Eb/G,3.x.x.4.3.x,3.x.5.3.4.x
88,8,3.0,Gaug,G,3.x.x.4.4.x,3.x.x.4.3.x
89,8,0.5,G5,Gmaj7,3.x.0.0.3.3,3.x.0.0.3.2
90,8,12.5,Csus4,C,x.x.3.0.1.3,3.x.2.0.1.3
91,8,120.0,C,Csus4,x.x.2.0.1.3,x.x.3.0.1.3
92,8,13.5,G9,Gm9,x.5.3.4.3.x,x.x.8.7.6.5
